id;name;description;day;start_time;end_time;church_id
1;Belize Dollar Sudanese Pound real-time;../fake-data/blob/hipster.txt;Sunday;open-source HDD;Sleek Beauty Auto Loan Account;1
2;deposit;../fake-data/blob/hipster.txt;Saturday;Practical North Dakota;implementation;2
3;Wallis and Futuna;../fake-data/blob/hipster.txt;Tuesday;Computers Small Fresh Gloves back-end;interface;3
4;compress lavender Investment Account;../fake-data/blob/hipster.txt;Wednesday;Iran;Philippine Peso Metal;4
5;Strategist;../fake-data/blob/hipster.txt;Sunday;mindshare Gorgeous;Chips;5
6;navigating;../fake-data/blob/hipster.txt;Saturday;Benin;Tuna Response invoice;6
7;alarm Jamaica;../fake-data/blob/hipster.txt;Wednesday;hack;leading-edge;7
8;Ergonomic Steel Gloves;../fake-data/blob/hipster.txt;Saturday;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;8
9;Gorgeous Cotton Chair Personal Loan Account Borders;../fake-data/blob/hipster.txt;Friday;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;9
10;Station;../fake-data/blob/hipster.txt;Friday;Branding Dynamic black;yellow;10
